행정동코드,시도명,시군구명,읍면동명,시장명,도로명주소,지번,500m,600m,700m,800m,900m,1000m
4817056500,경상남도,진주시,중앙동,진주중앙지하도,,경남 진주시 동성동 17,12,14,17,17,17,19
5113051500,강원특별자치도,원주시,중앙동,원주중앙시장,강원 원주시 중앙시장길 2,중앙동 60-1,32,36,37,38,41,45
4122061000,경기도,평택시,통복동,통복시장,경기 평택시 통복시장로25번길 10,통복동 70-29,14,17,19,20,24,27
4513060500,전라북도,군산시,중앙동,군산공설시장,전북 군산시 신금길 18 군산공설시장,신영동 18-1,10,10,13,19,21,25
4111574000,경기도,수원시 팔달구,행궁동,영동시장,경기 수원시 팔달구 수원천로255번길 6,영동 8,2,2,3,4,4,4
4313051500,충청북도,충주시,성내.충인동,관아골상가,충북 충주시 관아1길 14,성내동 428,1,2,2,2,2,2
4713055000,경상북도,경주시,성건동,북부상가시장,경북 경주시 금성로396번길 7,성건동 629-10,2,2,3,4,6,14
4413151000,충청남도,천안시 동남구,중앙동,천안명동상점가,충남 천안시 동남구 은행길 5-4,대흥동 79-4,7,8,9,10,14,17
1141058500,서울특별시,서대문구,신촌동,이대앞상점가,서울 서대문구 이화여대길 52,대현동 33-9,0,0,2,2,3,3
4719025000,경상북도,구미시,선산읍,선산봉황시장,경북 구미시 선산읍 단계동길 24 선산시장,완전리 253,7,11,12,13,13,13
4511171100,전라북도,전주시 완산구,효자1동,서부시장상점가,전북 전주시 완산구 효동2길 18,효자동1가 201-2,0,0,0,0,0,1
2771026500,대구광역시,달성군,현풍읍,현풍백년도깨비,대구 달성군 현풍읍 현풍로6길 5,원교리 12-5,4,5,7,8,9,10
4613057000,전라남도,여수시,중앙동,여수중앙시장,전남 여수시 중앙로 43,교동 400-1,8,9,9,9,10,10
5111054500,강원특별자치도,춘천시,약사명동,육림고개상점가,,강원 춘천시 죽림동 4-67,10,16,18,26,32,34
4728057000,경상북도,문경시,점촌1동,문경중앙시장,,경북 문경시 점촌동 197-22,21,26,29,32,37,39
4717058500,경상북도,안동시,서구동,안동중앙신시장,경상북도 안동시 중앙시장1길 54,옥야동 303-7,26,31,38,50,55,59
4471025000,충청남도,금산군,금산읍,금산시장,,하옥리 335-10,8,10,12,15,20,24
5177025000,강원특별자치도,정선군,정선읍,정선아리랑시장,강원특별자치도 정선군 정선읍 5일장길 40,봉양리 343-1,9,10,11,11,12,13
2723063000,대구광역시,북구,산격3동,산격종합시장,대구광역시 북구 대동로1길 34,산격동 1258,9,20,24,25,34,43
4817056500,경상남도,진주시,중앙동,진주중앙시장,경상남도 진주시 진양호로 553,대안동 8-10,2,5,5,7,14,16
1123054500,서울특별시,동대문구,제기동,경동시장,서울특별시 동대문구 고산자로36길 3,제기동 1019,9,9,9,9,9,9
5123051000,강원특별자치도,삼척시,남양동,삼척중앙시장,강원특별자치도 삼척시 진주로 12-21,남양동 55-4,12,12,12,12,12,12
5177025600,강원특별자치도,정선군,사북읍,사북시장,강원특별자치도 정선군 사북읍 사북중앙로 17-2,사북리 366-1,9,10,10,10,10,10
4572025000,전라북도,진안군,진안읍,진안고원시장,전북특별자치도 진안군 진안읍 시장1길 16,군상리 406-7,8,8,9,9,9,9
4571025000,전라북도,완주군,삼례읍,삼례시장,전북특별자치도 완주군 삼례읍 삼봉로 6,삼례리 923-8,1,2,2,3,4,4
4825051000,경상남도,김해시,동상동,김해동상시장,경상남도 김해시 구지로180번길 25,동상동 881-1,6,7,10,10,13,16
3114052000,울산광역시,남구,신정2동,신정평화시장,울산광역시 남구 봉월로67번길 17,신정동 1600-3,0,0,2,6,8,8
5011053000,제주특별자치도,제주시,이도1동,중앙로상점가,제주특별자치도 제주시 중앙로 75,이도일동 1411-1,23,33,47,67,85,93
4521051000,전라북도,김제시,요촌동,김제전통시장,전북특별자치도 김제시 요촌동 416-1,요촌동 423-2,12,14,16,17,18,19
2711059500,대구광역시,중구,대신동,대구약령시장,대구광역시 중구 남성로 158-1,동성로3가 47,35,44,60,85,96,114
4127155000,경기도,안산시 상록구,본오2동,신안코아전통시장,경기도 안산시 상록구 반석로 54,본오동 871,0,0,2,2,5,9
5011051000,제주특별자치도,제주시,일도1동,동문공설시장,제주특별자치도 제주시 동문로4길 9,일도일동 1103,30,43,54,64,73,80
4888025000,경상남도,거창군,거창읍,거창전통시장,경상남도 거창군 거창읍 중앙로 140,중앙리 122-1,13,15,16,23,29,34
4715053600,경상북도,김천시,평화남산동,김천평화시장,경상북도 김천시 김천로 100,평화동 259-1,3,3,3,4,4,4
4127158000,경기도,안산시 상록구,월피동,다농마트전통시장,경기도 안산시 상록구 예술광장로 1,월피동 445,0,1,2,2,2,2
4514052000,전라북도,익산시,중앙동,익산중앙시장,전북 익산시 중앙로3길 27,창인동1가 137-1,1,1,2,3,3,4
2611057000,부산광역시,중구,광복동,국제시장,부산광역시 중구 중구로 36,신창동4가 35-3,8,10,12,16,18,20
2623052000,부산광역시,부산진구,부전제2동,서면시장,부산광역시 부산진구 서면로 56,부전동 256-6,1,2,2,2,2,2
2811053000,인천광역시,중구,신포동,신포눈꽃마을,인천광역시 중구 우현로35번길 10,신포동 19-2,31,44,57,69,79,91
3011051500,대전광역시,동구,중앙동,중앙메가프라자,대전광역시 동구 중앙로200번길 99,원동 42-1,10,11,18,23,29,33
2871025000,인천광역시,강화군,강화읍,강화중앙시장,인천광역시 강화군 강화읍 강화대로 429,강화읍 신문리 205-5,1,1,1,1,2,2
4315052800,충청북도,제천시,중앙동,제천중앙시장,충청북도 제천시 풍양로 108,중앙로1가 77,13,17,18,18,19,19
5121054000,강원특별자치도,속초시,금호동,속초중앙재래시장,강원특별자치도 속초시 중앙부두길 24,중앙동 482-253,1,4,5,6,7,7
