행정동코드,시도명,시군구명,읍면동명,시장명,블로그,카페,콘텐츠총합
4817056500,경상남도,진주시,중앙동,진주중앙지하도,122,133,255
5113051500,강원특별자치도,원주시,중앙동,원주중앙시장,771,837,1608
4122061000,경기도,평택시,통복동,통복시장,442,469,911
4513060500,전라북도,군산시,중앙동,군산공설시장,98,91,189
4111574000,경기도,수원시 팔달구,행궁동,영동시장,2300,2280,4580
4313051500,충청북도,충주시,성내.충인동,관아골상가,6,6,12
4713055000,경상북도,경주시,성건동,북부상가시장,353,359,712
4413151000,충청남도,천안시 동남구,중앙동,천안명동상점가,2,2,4
1141058500,서울특별시,서대문구,신촌동,이대앞상점가,793,866,1659
4719025000,경상북도,구미시,선산읍,선산봉황시장,36,38,74
4511171100,전라북도,전주시 완산구,효자1동,서부시장상점가,510,532,1042
2771026500,대구광역시,달성군,현풍읍,현풍백년도깨비,62,58,120
4613057000,전라남도,여수시,중앙동,여수중앙시장,588,533,1121
5111054500,강원특별자치도,춘천시,약사명동,육림고개상점가,2,2,4
4728057000,경상북도,문경시,점촌1동,문경중앙시장,241,227,468
4717058500,경상북도,안동시,서구동,안동중앙신시장,124,135,259
4471025000,충청남도,금산군,금산읍,금산시장,925,858,1783
5177025000,강원특별자치도,정선군,정선읍,정선아리랑시장,361,344,705
2723063000,대구광역시,북구,산격3동,산격종합시장,144,132,276
4817056500,경상남도,진주시,중앙동,진주중앙시장,251,236,487
1123054500,서울특별시,동대문구,제기동,경동시장,2220,2290,4510
5123051000,강원특별자치도,삼척시,남양동,삼척중앙시장,634,661,1295
5177025600,강원특별자치도,정선군,사북읍,사북시장,154,144,298
4572025000,전라북도,진안군,진안읍,진안고원시장,96,102,198
4571025000,전라북도,완주군,삼례읍,삼례시장,191,197,388
4825051000,경상남도,김해시,동상동,김해동상시장,124,130,254
3114052000,울산광역시,남구,신정2동,신정평화시장,56,59,115
5011053000,제주특별자치도,제주시,이도1동,중앙로상점가,102,95,197
4521051000,전라북도,김제시,요촌동,김제전통시장,208,223,431
2711059500,대구광역시,중구,대신동,대구약령시장,90,98,188
4127155000,경기도,안산시 상록구,본오2동,신안코아전통시장,186,180,366
5011051000,제주특별자치도,제주시,일도1동,동문공설시장,142,140,282
4888025000,경상남도,거창군,거창읍,거창전통시장,163,148,311
4715053600,경상북도,김천시,평화남산동,김천평화시장,36,33,69
4127158000,경기도,안산시 상록구,월피동,다농마트전통시장,14,13,27
4514052000,전라북도,익산시,중앙동,익산중앙시장,272,283,555
2611057000,부산광역시,중구,광복동,국제시장,4930,5000,9930
2623052000,부산광역시,부산진구,부전제2동,서면시장,365,369,734
2811053000,인천광역시,중구,신포동,신포눈꽃마을,6,6,12
3011051500,대전광역시,동구,중앙동,중앙메가프라자,142,147,289
2871025000,인천광역시,강화군,강화읍,강화중앙시장,8180,8710,16890
4315052800,충청북도,제천시,중앙동,제천중앙시장,440,440,880
5121054000,강원특별자치도,속초시,금호동,속초중앙재래시장,200,210,410
